"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ats_h0p_power","ats_h0p_mc_se"
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",2,0,6,0.5995,0.69308,0.00206262024425244
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.33664,0.44696,0.00222345118408298
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.26954,0.37258,0.00216224024382121
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.33526,0.40644,0.00219657244997746
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"normal",1,0,0,0.56024,0.69012,0.00206811211301515
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",2,0,6,0.8197,0.88022,0.00145212087375673
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.52918,0.642,0.00214399626865347
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.42718,0.5396,0.00222904392060812
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.51376,0.58536,0.00220324156823531
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"normal",1,0,0,0.83284,0.90934,0.00128406202653922
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",2,0,6,0.97652,0.98698,0.000506961134605011
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.80676,0.87448,0.00148165265565179
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.69972,0.78806,0.00182768397924805
