"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0496,0.04974,0.000972274985793628,0.05028,0.00097726067760859
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05068,0.04994,0.000974125211664291,0.0504,0.000978364349309601
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0492,0.05084,0.000982398029313984,0.0512,0.000985683113378737
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04964,0.04976,0.000972460203812989,0.05012,0.000975786714400232
"balanced n, equal SD",100,"100, 100, 100, 100","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04862,0.05174,0.000990585406716655,0.052,0.000992935043192655
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0528,0.05674,0.00103460690506105,0.0533,0.00100458060901055
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05366,0.0538,0.00100901496520121,0.052,0.000992935043192655
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.0751,0.07612,0.00118596581400983,0.07274,0.00116145505638402
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.169,0.171,0.00168379927544823,0.1633,0.00165307658624759
"balanced n, unequal SD",100,"100, 100, 100, 100","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.588,0.58808,0.00220109933260632,0.57226,0.00221259346650034
