"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.99658,0.99738,0.000228610393464512,0.9973,0.000232065077079686
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"normal",1,0,0,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,0,1,0
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","200, 200, 200, 200",200,"F.P.",5,2,6.6,1,1,0,1,0
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"normal",1,0,0,0.14958,0.17294,0.00169134122163448,0.21442,0.00183545124478968
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",2,0,6,0.26624,0.30878,0.00206608282312205,0.3552,0.00214024746232766
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.14384,0.1721,0.00168808524666262,0.20438,0.00180337913706464
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.11844,0.14666,0.001582092566192,0.17438,0.00169688900992375
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.1517,0.18934,0.00175208655265657,0.19596,0.00177516015277495
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"normal",1,0,0,0.356,0.39234,0.00218361775226343,0.4629,0.00222990398896455
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",2,0,6,0.5995,0.64204,0.00214394327536901,0.68018,0.00208583397038211
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.33664,0.37524,0.0021653403538474,0.42796,0.00221273694053315
"unbalanced n, larger n with larger SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.000, 0.404, 0.807, 1.211","1.0, 1.3, 1.7, 2.2","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.26954,0.30964,0.00206767052694572,0.3482,0.00213052463022609
